	Faia	kiy-000	adi3													
	Faita	faj-000		gawar				-ram-	mut-						kwe	
	Faiwol	fai-000	teŋ	gyän kʰʊn					kʰoniŋ						ba yo	
	Fakai A	gel-000	kom													
	Fakaʻuvea	wls-000	nima												hèe	nofo
	Fali	fal-000	kan													
	Fali	nic-000	kʌ̀n													
	Fali Bwagira	fli-001			kʊma		fa	yaɓ	bùɮʊ̀rʊ				gʊ̀vwà			
	Fali Mucella	fli-000			bagɨǯɩ̀n		təkʊft	tsʊgʊbi	bʊ̀ɮʊ̀rrɨn				gʊ̀vwàni			
	Falor	fap-000	yaʔ					hɔs	ɓɔf							
	Fama	kgo-001	nizo													
	Fang	fak-000	tsin					su								
	Fanti	fat-000	nsa													
	Fanya	fni-000	tekehoro										kunamo bele		tage	
	Farang Amis	ami-003	ulima7													
	Farsi	pes-002	dast	ɑrænǰ	ru		dæst-kærdæn	šostæn	sorfe		-kærdæn		dust	âile	nē	mɑndæn
	Fas	fqs-000	kəi	okuno					-nua						mom	
	Fataan Amis	ami-004	kapal													
	Fataleka	far-000	amba													
	Fataluku	ddg-000	tana												upe	
	Fauro Mono	mte-002	ime													
	Fayu	fau-001	ada													
	Fayu—Sehudate	fau-000	d3hai													
	Fengshan	zgn-000	fɨŋ.2													
	Fernandino	ser-004	mo-ma												xai	
	Feroge	fer-000	7bi													
	Feʼfeʼ	fmp-000	poɱ		siɱ								sɛɱn			
	Figuig	tzm-004	fus													
	Fila	mxe-001	rima													
	Finallig	ebk-000	lima													
	Finangakan	mxx-002	bo													
	Finungwa	fag-000	qayiri-	qaqatɛ				goŋgomə	tirinyaq						nɛmoŋ	
	Fipa	fip-000	kasa	akankonchi	apamaanso			fula	koola	mwitu						shala
	Fitusa	art-246													mu	
	Fitʼe	agx-002	χil													
	Foau	flh-000	warkre													
	Fodonon	nic-015	kã̄dàʔālā					gbél								
	Foe	foi-000	ya	ya moga			dusude-	dena-	somade-							
	Folokakan	man-002	bolo													
	Fondante	fmp-004	puʜəʜ		siʜ											
	Fondjomekwet	fmp-005	pʷʌʜ		sɪʜ								suʜuʜ			
	Fongoro	fgr-000	iːli													
	Foodo	fod-000	kòbáó													
	Foqaha	swn-000	afus													
	Forak	frq-000	ari	atabli					amɨk wɨt						ɪkmum	
	Fore	for-000	yaːʔ	aoʔ					kuʔmo						kampa	
	Forest Nenets	yrk-003							koot							
	Formona	sys-001	illi													
	Fornsvenska	swe-001	han		facett	distans								familj		
	Fotouni	fmp-001	pʷɔʜ		sʌʜ								suʜuʜ			
	Frafra	gur-001	nũʔõ													
	Francisco León	zos-000	k37													
	Ft. Hall	shh-001	moʼ					gozhoʼha̲i̲-	ohni-				dagaʼ			
	Fu	zyg-001	moŋ³¹	koːŋ³⁵θoːk̚⁵⁵	na³⁵			θʏːi⁴⁵	ʔai³¹				paŋ²¹³jau³³		mei³¹	
	Fulfulde	ful-000			yɛ́ːsoː				dóči							
	Furu	fuu-000	gi													
	Furupagha	ijc-009	bira													
	Futuna	fut-002	rima													
	Fuyuge	fuy-000	bodole	hikanan	yodoge			umbubi					narenabe		ua	vayu
	Fyer	fie-000	yá				mbwè	so					šul			tà ʔá mun
	Fɔngbè	fon-000	alo													
	Fəran	fir-000	kubok													
	G//abake	hio-000	cau													
	G/wi	gwj-000	cáú													
	Ga-dang	gdg-000	laNalay													
	Gaagudju	gbu-000	naijei	ɲoːmburu	bɔrɔ			gaɾaɾɛːgai							gɔiyu	
	Gaam	tbi-000	ʔas													
	Gabadi	kbt-000	imanana													
	Gabi	gnr-001	biu	gini	gun gun			waɟimɟa-								
	Gabin	gqa-001			čìmènde		tɨkənči	čəpənčikəɗi	sɨ̂wte				lə̀wrɩna			
	Gabri	gab-000	kobin					peléː					kebwai		oʼoli	
	Gabu	gox-000	ni													
	Gadang	kda-000	mut-te-ra	nun-na											goo-ran	
	Gaddang	gad-000	langalay												bɨkkɨn	
	Gadduresu	sdn-000											amicu			
	Gade	ged-000	bo													
	Gadsup	gaj-000	aːyaːmi	ayaːʔomi	oni		ayokaono	nonokeʔu	umiseʔu						iye	
	Gafat	gft-000	dy~edy~e													
	Gahuku	gah-000	gigizane	oʔmuva					guluʔ						oʔe	
	Gahuku—Asaro	aso-001	ante													
	Gal	gap-000		sikini	uru-			laho-	dɛur-						itu	
	Galambu	glo-000	sara													
	Galela	gbi-000	gia													
	Galice	gce-000	=laʔ													
	Galke	gke-000	ndóʔʔ		pəl			to								
	Gallinoméro	peq-000	t̪ʰˈaːna													
	Galo	tbq-005	lak													
	Gamei	gai-000	par													
	Gamilaraay	kld-000	mara	ngunuugaa	ngulu		dhama-li	wagirrbuma-li	gunhugunhu	walaaybaa					gamil	baabi-li
	Gamo	gmv-000	kuše													
	Ganang	gne-000	nabamb~ok													
	Gane	gzn-000	komu												tes	
	Gangam	gng-000	o-nuã													
	Ganglau	ggl-000		kʷaip	was			mɛ-	tuku-						minʌm	
	Gangulu	gnl-000	mala													
	Ganja	bjt-000	Cif													
	Gants	gao-000	ɛmbayɛ	ɛmpəkomi					məre ambek						maŋ	
	Ganza	gza-000	kʊsɛ													
	Gao	taq-002		ì-ɤmər-æn												
	Gapapaiwa	pwg-000	ima-												ke	
	Gapun	gpn-000	daram	akan-burnad-tsokɔrb				taniet	ketuk-							
	Garadjari	gbd-000	baɲi		mipar										djami	
	Garaku	gwn-003	nan													
	Garam Chishma Khowar	khw-002	bazu													
	Garo	grt-000	jak													
	Garrwa	wrk-000	manin													
	Garus	gyb-000		suʔun	ulɛ- mitʰ			žɛ	daluʔ-						pi	
	Gatsame	kcx-000	kuːše													
	Gavião	gvo-000	pabe													
	Gavião do Pará	gvp-000	o*kra													
	Gawir	mrz-001		kovard	nanih				tabak							
	Gawwada	gwd-008	Xargo													
	Gawwada—Dalpena	gwd-000	ħarkó	tʼihile	miinte		peerri	šoh	tula		qoot		peelho	ʔahke	haay	
	Gawwada—Dobase	gwd-006	ħarkó		miːnčé			šoħ-	gufaʕ-						erráyto	ħakʔ-
	Gawwada—Gobeze	gwd-002	hær-													
	Gawwada—Gollango	gwd-003	ħarqó	tʔihílle	miːnté			šoħ-	tull-						erráyto	
	Gawwada—Harso-Werize	gwd-005	kanɛːte	tʔihíle	miːnčé			šoħ-	gufaʕ-							
	Gayardilt	gyd-000	maɹ̣ḍa	muṇu	girga				ŋildiɟa		wakaratha				warirra	
	Gayo	gay-000	pumu					basuh							ŋgih	
	Gaʼanda	gqa-000			čɨ̀nànda		tìkəntɩ̀hɛrɩ̀fa	čàpančikəɗi	šûta				šɩ̀kètɩ			
	Gbanziri	gbg-000	kp~a		lí là			zuò	kɔ̀ gbàkpé							
	Gbarain	ijc-010	bara													
	Gbaranmatu	ijc-011	bira													
	Gbari	gby-000	ebw~a	bodnadnu		ekpa	to	fu	eci		kpá					
	Gbaya	gso-000	kɔ́		lí			ɓɔsi	kɔɛ							
	Gbaya	krs-001	rɛke		ílí-mumu			lɔ́bó	ɛ́kpɛ́	ɔtɔ́					róọk	
	Gbaya-Bossangoa	gbp-000	ér-		ríp		tam-á	zoy ri	kɔli							
	Gbelebankakan	man-003	bolo													
	Gbeya	gba-000	ʔéré		rí			zoi	kɔli							
	Gbi	bbp-000	ene		čáču			yùtù	tekɔ̀							
	Gbin	ggu-000	kɔ-di					lèlè	trɒ							
	Gbonzoro	nic-016	kɛ̄ɛ̀					bi wélí								
	Gbugyar	mda-001	Nw~on													
	Gciriku	diu-000	livoko	rùkôkònà	ʃìpá				ntûrò							
	Gebe	gei-000	kame													
	Gebeto	wti-001	hábba	goŋgaʼleŋ	areɖo		badza	gidza								
	Gedaged	gdd-000	nimán							fun					tea	
	Gedeo	drs-000	anga	dʔudʔúmeː	alba		kis-	aːnš-	kʔuf-aʔ-				ǯaːlo		hedʔeba	gat-
	Geji	gji-000			činə̀		lèmì	pòwòlì	yèɬɨl				ʔyèlɨn			
	Gela	nlg-000	lima												taho	
	Gelao	gqu-000	mp~au													
	Gelao Wanzi	giq-001	mpau													
	Gelmets	tkr-003	χɨlʸ													
	Geme	geq-000						sɛɲ	kɔtɔ							
	Gende	gaf-000	yane	ya- poma	wena komuna				kogoma-						omoy ame	
	Gengle	geg-000	dinaŋɛ										uraduŋla			
	Gequn	agx-003	χil													
	Gera	gew-000	sara		geni		tɨ̀ŋkili-mi	bùdì-mi	kwələ				dorìnɨ̀			
	Gerse	gkp-000	ye													
	Geruma	gea-000	sarra													
	Geto	sgw-003	Ej													
	Geynyan	bdy-004	daŋgan		yiburu										yagumba	
	Ghadamès	gha-000	of3s													
	Ghari	gri-000	lima-													
	Ghatshila Ho	hoc-001	tiː	uˈkʰe	ˈmeɖ muˌʧa								ʤuˑˈɽi	boŋˈso		
	Gherdëina	lld-003	man													
	Ghodoberi	gdo-000	rEla													
	Ghoraduba Ho	hoc-002	tiː	uˈkɛ	ˈmeɖ˺ moˌʧa								ʤuˈɽi	ʊˈwaʔrenˌko		
	Ghove Blablanga	blp-001	kh~ame													
	Ghulfan	ghl-000	ɔʃí	kɪp	koɲanú		ɖoɖeri	ebí	ɖarɛ		ɪddmeɽi		bikedáŋ	ʃalli	óoŋ	akí
	Giamina	azc-000													hahītcu	
	Gidabal-Winjabal	bdy-003	daŋgan	gurin	mibiɲ		nama-	ɟanba-	giɲalgaː-				mibiɲ-aː-bu		guru	yaːna-
	Gidicho	kqy-001	kuSe													
	Gidole	gdl-000	harka													
	Gidra	gdr-000	yema	komul	wop								yoŋeam			
	Giliya	bva-002					mamo									
	Giləki	glk-002	dEst													
	Gimi	gim-000	zaʔ	azusuʔ					kotuize						kakare	
	Ginuman	gnm-000	yinib	ɫenip kwerep					wadedi						ɫabo	
	Girawa	bbr-000		aiʔwo-	oyo-			ʌːn zo-	atoru-						bʌ	
	Giri	geb-000	farve	səgar	kwom			rwai	ki				kʰurkum		ɸuwraʔa	
	Giryama	nyf-000	kono													
	Gitata	gwn-004	nan													
	Gitua	ggt-000	niːma	niːma papatu				isa-isa	toːla						maːgo	
	Giʼiz	gez-001	ed													
	Gjesdal-dialekt	nor-000	hon													
	Glavda	glw-000			xʊɗyʊ̀gà		tapɣànàtapʊ̀gà	bàrədà	bekenà				tsaɣwà			
	Gobasi—Gebusi-Bibo	goi-000	dob													
	Gobasi—Honibo	goi-001	dub													
	Gobasi—Oibae	goi-002	dop													
	Godie	god-000	klogba		klʊ́			wɔɔ̀	kʊkɔ̀				nʊ́ʊ̂			
	Godié	god-001						wɔlʊ̀	kɔlɨ̀				nágɔ			
	Goemai	ank-000			yitnà		ni ɓɨM ni	ni vwɨyəŋ	sɨgɨ̀m				gɨ̀šənə			
	Gogodala	ggw-000	kueta kueta	mobe	sosoko			wi-ami					sokabea		bini	
	Gogodala-Adiba	ggw-001	kueta kueta													
	Gogodala—Gaima	ggw-002	maiguana													
	Gogodala—Girara	ggw-003	kuetakueta													
	Gojjam	guk-002	ela												men	
	Gokana	gkn-000		tútṹm-bá	sĩ́		daːbó-ló		bɛ̀ː				kóò			
	Gola	gol-000	síwe	góːa												
	Goliath	mtg-000	ate	ʔinkʊkʌp			cɑb-	mɛːʔ iliŋ-nʌʔ	kɑsuk-				kʷɪt		kʊm	
	Golin	gvf-000	an		ómilín gumán		a tau si te	níl paa			obín sí		ye né	enin kobe		
	Golo	bbp-001			čɛ́ču			yutu	teko							
	Gon ua	gan-001	shou													
	Gondang	pqw-001													adéʔ	
	Gongxing Bai	bfc-003	Si													
	Gonja	gjn-006	ánɔ̀													
	Gonja	gjn-002	ɛ́nó													
	Gonja	gjn-001	énɔ́													
	Gonja	gjn-005	énɔ́													
	Gonja	gjn-004	ɛ́ːnɔ̀													
	Gonja	gjn-003	ɛ̀nɔ̀													
	Goonan	gww-000	míel	dji	múro		téna	djúru	kúlngar				yéliuru		kédjil-kábo	ngüma
	Gooniyandi	gni-000	maḷa	ɟuŋgu	muwulu		maɟ-	ɲumbuḷ-					ɟaliɟi		maŋari	
	Gor	gqr-000	jī	kíl			ɔ̀dɨ̀	tógɨ̄	késī		tā̰		gàr			nà̰y
	Gorontalo	gor-000	olu`u				wapito	huheto								
	Gorovu	grq-000	afə													
	Goshute	shh-005	moq	gip	gob											
	Goukou	cng-004	jipɑ		tʰæ		tæmæ	gus χulɑ	tsʰu	kin		ʂəχui	kuetʂə		ȵyŋu	je
	Gourou	djm-001	nùmó	nùmò títóŋ			tɔ́wɔ́	súmó	kògùzó		kùrú		mì tɛ̂n			
	Gova	mhw-000	dy~oko													
	Gowar	aus-012	bangamba												yagara	
	Goídelc	sga-000	lámh	uilind	enech		do-aidlea	nigh	casachtach	áitt			cara	teglach	ní	mairim
	Grebo-Innes	grb-001	koba lu	sõ gudu	yibá		to nɔ	plɛ	kodɛ							
	Green Gelao	giq-002	mp~au													
	Grootfontein !Kung	ktz-002	‼̰ȁȕ													
	Gros Ventre	ats-000	bETeTi													
	Gua	gwx-000	ɔ̀ba													
	Guachi	sai-006	mason													
	Guahibo	guh-000	kobe													
	Guajajara	gub-000	po													
	Guajá	gvj-000	po													
	Guamaca	mbp-000	gula													
	Guambiano	gum-000	tasik													
	Guana	gqn-000	uonhun													
	Guang	gjn-000	nɔ́		a̘-niʃito			fʊrʔ	wʊsa				ɛ-nak͡pa			ʃirʔ
	Guarani Antigo	grn-000	mb~o													
	Guarijio	var-000	seka													
	Guató	gta-000	ra													
	Guayabero	guo-000	ke7e													
	Guaymi	gym-001	kise													
	Gua—Anum	gwx-001	ɔ̀ba													
	Gua—Asamankese-Anum	gwx-002	ɔ̀bá													
	Gudanji	nji-000	maṇa													
	Gude	gde-000			kúŋwə́n		tɨ̀ɓɨ̀tɩ́č	ɓɨ̀zúgɩč	bɨ̀lɨ̀rrá				gùvákyà			
	Gudu	gdu-000			dì		gʊ́mà	yɛ́ːbàː	kwədzor				bə́ə̀ží			
	Guduf	gdf-000			vəkùɗìyà		tə̀patsinà	pàràganà	wuɮaxà				tsawà			
	Guhu-Samane	ghs-000	mboto	boto kahasa					sogahire				dzaira		mbamu	
	Guiberoua Bété	bet-000						wɔlʊ̀	kwʌsɛ̀				ɓeyí			
	Guinaang Kalinga	knb-000	ʼqima													
	Guinao	awd-004	nk~abi													
	Gujgi Khorasani	kmz-003	el													
	Gujrātī	guj-001	haath		mode				cough						naa	re
	Gula Mere	kcm-002	nz~i													
	Gulay	gvl-000	jī	kíl-jī			ɔ̀dɨ̀	tógō	kásɨ́		kāy		màdɨ̄			nà̰y
	Gullah	gul-000	hEn													
	Gumalu	gmu-000		amuk	ora-			wa ru-	tɛʔurɛ-						bitik	
	Gumawana	gvs-000	nimana												gebu	
	Gumbaynggir	kgs-000	maːla	guriː	waːn			wuluːgigura								
	Gumuz	guk-005	eːla													
	Gumuz	guk-004	ɛla					facʼɛkʷo							haːŋgwo	
	Gumuz Sai	guk-000	ela					ɛːf							-aŋgo	
	Gun-Djeihmi	gup-002	gun-bid	gun-nei	ɟun-geb		garme		ɟoʔme				ɟawiṇa		kayakːi	
	Gundong Pa Hng	pha-000	qa₄₄=pʋ₂₂													
	Gunggari	kgl-000	maɹ̣a	maŋku n̪idimaɹ̣i				yirpali-							walan	
	Gunwinggu	gup-000	gun-bid	kun-neyʔ	-gɛb			-ɟiridʼbu-					midgɔ		burgyaːg	
	Gunya	gyy-000	mada													
	Gunya Guwamu	gyy-001	marda													
	Gupapuyŋu	guf-001	goN													
	Guragone	gge-000	wɔggiŋiɟeri	giɲara	guyirgiɟeɾe			ŋawebbun -biyin							galu	
	Gureng Gureng	gnr-000	biru	gini	gun gun			waɟimya-							gureŋ	
	Guriaso	grx-000	mʊtu													
	Gurindji	gue-000	wartan	nungkuru	lungarn		turnkuturnku	tarukap	ngarlarrip	ngurra	maralang		jaliji	nungkiying	lawara	karra
	Gurma	gux-000	nu													
	Gurmaare	fuh-003	junngo	soɓɓundu	wiitude			laaɓinde	ɗojjude		baka		higoo	ƴuwdi	aʼaa	
	Guru Kalasha	kls-001	baza													
	Guruntum	grd-000	a													
	Gutiska razda	got-002	handus		ludja		tekan	þwahan		arþus	dáils	gamainþs	frionds	fadreins	áins-hun	gastandan
	Gutob	gbj-000	ti	kopor	sar-mo?		taram	ton	kub		tu-nu		soŋ lok			ɖuk
	Guwa	aus-028		yuɹ̣iɟimu	kuwu										kaɹ̣a	
	Guwamu	gwu-000	marda													
	Guwot	gve-000	limain													
	Guyanese	gyn-000	han													
	Gwa	gwa-000	ṍmõ-gbà					yɔ ɗèkẽ	krɔ				ɟõʏ̈			
	Gwagwa	gwn-005	nani													
	Gwahatike	dah-000	haniŋ	kogoroŋ					fofoŋa						moŋ	
	Gweno	gwe-000	kuboko	ngokoa				ifua								irewa
	Gwere	gwr-000	galo	lukokolwa	maiso			nabya	kukoola	ikka						kusigala
	Gã	gaa-000	dẽ	nikučo	hĩe		ta … he	fɔ he	wɔlɔ				nanemei		dabida	šʷɛ
	Güne	lez-005	ʁil													
	Gāndhāri	pgd-000	hasta				phaṣa				paḍibhaga	saṃgha	vayasa			
	Ha	lic-001	ŋɛk11													
	Haausqyaix	pcc-000	f3n													
	Hach tʼan	lac-000	k"3b													
	Hadiyya	hdy-000	aNa	čʔikʔile	il-kollo		amad-	danš	kuttʔ-				koba		beːʔe	gat-
	Hadza	hts-000	ʔù=kʰwˈà-pʰì													
	Hagfa Pinyim	hak-002	zak7	cu5	jung2	chang2	shu1	to2	kai3	ga1	bun1	sha3	gau2	zi1	mi2	liu2
	Haifeng She	shx-002	k"ua													
	Hainan Cham	huq-000	ŋa:n 33													
	Hak-kâ-ngî	hak-005		tsiú												
	Haka	cnh-000	kut													
	Haku	hao-000	walima												moa	
	Halang	hal-000	ti					rao								
	Halia	hla-000	lima	tukulun ualima	pole		sebele	tobö	gelolo		hasungsungutu		haluma	hunhaposa	möa	papou
	Haliti	pab-000	ekaho													
	Hamap	hmu-000	nataN													
	Hangaza	han-000	boko	inkokora	maso			ukumesura		wachu						kusigara
	Hangu Pashto	pbu-008	las													
	Hangungmal	kor-001	son	cwu	an	ke	chok	han	hyo	ka	kong		wu	ho	pwul	se
	Hano	lml-000	lima-												sigai	
	Hanunoo	hnn-000	kámang							uliʔ-án			insán		bukún	
	Harar	hae-000	harka		fullá			dʔikʔat					ǯaːlá		lákkí	hambis
	Harari	har-000	iji													
	Haruai	tmd-001	yɪmʟakʰ												wuhʌ rɨla	
	Haruku	hrk-000	rima													
	Hatsara Santali	sat-010	tiː	ˈmoka	muˈʈʰən								ˈgati	ˈgʰaroɲʤ		
	Hattam	had-000	nd~ab													
	Haununu Bauro	bxa-002	rima													
	Haut Kenyang	ken-003	amo													
	Havasupai	yuf-000	sale													
	Hawyiengz Zhuang	zch-001	fafuN													
	Haya	hay-000	kono	enkokola	obuso			kwoga	kolola	ka						kuikala
	Heben Santali	sat-011	tiː	mokˈɳe	meːt˺								gaˈte	gʰaˈroːɲʤ		
	Hedian Bai	bfs-001	sou													
	Heiban	hbn-000	d-					úy-ɔ!					mɛḍɪgɛn			
	Heiltsuk	hei-000	hay"asu													
	Hellēnikḗ	grc-001	kʰéyr	ō’lekranon	’prosōpon		’haptomai	’nizō	’bēssō	kalia	’daiomai		he’tairos	oi’kiā	ūda’mōs	’menō
	Heqing Bai	bca-003	sh~u													
	Hertevin	hrt-000	ida													
	Hewa	ham-000	lati	aluene											faw	
	Heyo	auk-000	natɛg												yɛhoʔ	
	Hidatsa	hid-000	iSaki													
	Hiechware	hio-005	cau													
	Hiligaynon	hil-000	lima	siko	atúbaŋ	kalayuon	kamlut	kalunggo		kaugalingonsnga banwa	parti	banwá	kakampi	balay	indi	pagpabilin
	Hindi	hin-002	hat													
	Hinukh	gin-000	kʷezey													
	Hiri Motu	hmo-000	imana													
	Hiroshima-ben	jpn-107					irau									
	Hitigima Dani	dni-001	eki													
	Hitu	htu-000	lima												teʔen	
	Hiw	hiw-000	my~o													
	Hlubi	ssw-001	andla													
	Hmar	hmr-000	kut													
	Hmu	hea-001	pi													
	Hmub	hmq-000													xut	
	Ho	hoc-000	ti													
	Ho-Chunk	win-000	na*p						hooxíwi							
	Hokm Abad Khorasani	kmz-005	El													
	Hona	hwo-000			pʊ̀mà		tsʊ̀wár	tsə́bə́ŋ	fèrá				pàšɩ̀yà			
	Hongfeng Gelao	aou-001	popo													
	Horom	hoe-000	ubo													
	Hote	hot-000	bahEN													
	Hozo	hoz-000	kuci													
	Hrê	hre-000	tì					ʼnhiu								
	Hsipaw	tai-011	mɨ.1													
	Hua Bin Tay	tai-006	pa.2 mɨ.2													
	Huacana	ayc-000	ampara													
	Huambisa	hub-000	uweh													
	Huangluo Bunu	buh-000	tʰou₂₂													
	Huarayo	ese-001	e-ʼme				miši-kwe	taxa-kwe	oho-kwe				e-nixe		pahaa	ani-kwe
	Huave de San Francisco Del Mar	hue-000	wiS													
	Huichol	hch-000	mama													
	Huilong	cng-005	yɑbɑ		kvunn	yiuve	vdɑe	ggus vuluɑ	cueɑ	jjudvdɑ		mi yi lebɑe			mɑngu	ejji
	Huitoto Mika	huu-001	onoju													
	Hukumina	huw-000	lima													
	Huli	hui-000	ki	gi himbi			eḷeha	t̪oma	ko la							
	Humene	huf-000						βɪrɛ-							mene	
	Hunde	hke-000	nw~e													
	Hungana	hum-000	mok													
	Hunjara-Kaina Ke	hkk-000	iŋgere													
	Hunza	bsk-009	=rˈiiŋ													
	Hunzib	huz-000	koro													
	Hupa	hup-000	=laʔ					-deH -diwh								
	Hurrian	xhu-000	šu-ni													
	Huzhu Mongghul	mjg-001	ghari	qimuga	niuri	hula tada	kuanda	ghua	hana	kudi			zhonii	qingsang	gui	so
	Hya	hya-000			kɨma		tsàvɛ	yaɓʊndɛ	ɠɩɮa				mčɛ			
	Hyam	jab-000	bw~ok													
	Hàshà	ybj-000	wok													
	Hän	haa-000													ko	
	Hñohño	otq-000	ye													
	Hñähñu	ote-000	'ye̲	yu̲ni	hmi		tha̲ni	xu̲ki	hehe		heke		mpädi	mengu	hi'nä	
	Hǎinán huà	nan-018	si̯u₃													
	ISO 259-3	heb-001	yad							moledet					lo	
	Iaai	iai-000	beñi-												ohe	
	Iamalele	yml-000	nima	nimasiusiu	maigina	maʼusa	ʼabitonova	lauvunaga	dokudokula		veuveuta		iaotogina	ʼailaʼa	kebuʼa	mia
	Iatmul	ian-002		kwaɹy tambʌ	nambw			yakw	yak kəɹ							
	Iatmul-Brugnowi-Korogo	ian-000	taʔampə	kwaʔariləmpə											kaʔi	
	Iatmul-Nyaura	ian-001	taːmpə	kwariləmpə											kayakŋ	
	Iau	tmu-000	oi													
	Iauga—Dungerwab	ncm-001	ambo-tond	tondityumb	čab				omeld				tagar		yau	
	Iauga—Parb	ncm-002	tondpurbur													
	Iban	iba-000	jari		adap			tesah	batok					aris	endaʔ	
	Ibanag	ibg-000	lima					baggao	ikeg						ari	
	Ibatan	ivb-000	tanoro	chicho	salap	bawa	salid	lablab	gogo				sīt	pamilya		yan
	Ibee	skt-001	mbEmbE													
	Ibibio	ibb-000	ka ubok	ékûŋ	iso		tuuk	yet	kọn̄				udọ		mmm	bono
	Ibilo	opa-001	bo													
	Ibino	ibn-000	kir eka upok		éɲé		túúk	čɛ́d								
	Ibolo Bambomba Bomitaba	zmx-006	ca5a													
	Ibuoro	ibr-000	ka ubok	èkwɔ́ŋí	ísó		tók	yɛ́d								
	Ica	arh-000	gunn3													
	Idaʻan	dbj-000	ʌppiʔ				kebpit								ʌŋko	
	Idi-Dibolug	idi-000	täŋg	tɛgwəmb	yiŋor				kwəmbiyɛwolan						yao	
	Ido	ido-000	manuo	kudo	vizajo	disto	tushar	lavar	tusar	hemo	aciono	komunio	amiko	familio	no	resteyo
	Idoma	idu-000	abo													
	Idu	clk-000	ka tio													
	Iduna	viv-000	nimana	nimana	-haga	lauva	-bwaʼena	-towa	-oho-lalata	manuwa	boʼu		tobohiyaʼaseʼasena	loi	keke	-miya
	Iduwini	ijc-012	bira													
	Idṹ	ldb-000	ubok													
	Ifoghas	taq-008						-æ̀ss-eræd-	t-æ̏-su-t-t							-æ̀zzubbæ-t
	Ifugao	ifk-000	ngamay		anga									hin-ama		
	Ifugao Bayninan	ify-001	ta7le													
	Ifugaw	ifu-000											ayám		adi	
	Igala	igl-000	ɔ́wɔ́	akákanowɔ́	éǯú		é-du čò	é-gwà	úkɔ́				ónónoǯò			
	Igbira	igb-000	ʊ̀vɔ́		eyí											
	Igbo Onitsha	ibo-002	aka													
	Igede	ige-000	ubw~o													
	Ignaciano	ign-000	wa7u	-c̷uc̷u	-mira		-ʼemamaka	-kasipa	-ʼunukawa		-kahi		-ʼemunakasare	amaperuana	-hina	-ʼawiraiču
	Iha	ihp-000	tenam	tan-toŋbon	kaməri		tehəgeba	beraŋǯa	puokta				nereːta		nonop	
	Ijo	ijs-001	bara													
	Ik	ikx-000	kwɛ̄tʰ	qʼʊ̀lɛ́	takár		tābès	fītēs	ōfōn				ɛ᷆b-ām	tsʼàɗı̄-ēkw̥ḁ	ń̩tôdó	ʄɛ̄ʄɔ̂n
	Ikaan	kcf-001	uwo													
	Ikakumo	kcf-002	uwo													
	Ikalanga	kck-000	azha	ikokola	chiso	bukule	bhata		fuba	zi	ikara		zwalani	nsha	aa	
	Ikibiri	ijc-013	bara													
	Ikizu	ikz-000	bhoko	engokora	busho			isabha kwisabha	kokorora	weto						kusaga
	Iko	iki-000	kit Eka ubok	ékwɔ̀ŋ	ísó éɲè		túúk	zɛ́d								
	Ikobi Kairi	meb-000	ṣɛ													
	Ikoma	ntk-000	bhoko	ngokoro	obhushu			kutawasa	kukorora	awito						kusagha
	Ikpana	lgq-000	agbashi					fo iva								
	Ikpeng	txi-000	imyar3													
	Ikulu	ikl-000	ny~uN													
	Ikwere	ikw-000	ákâ												ńǹ	
	Ila	ilb-000	itaSi													
	Ilakia	awb-001	ayahnobeh	ayayo	auranabiyah		biehre	peroperoʔ	ingokoʔ						aʔao	
	Ili'uun	ilu-000	lima												ta	
	Ilianen Manobo	mbi-000	bɨlad						batuk						waraq	
	Ilir Komering	kge-002	puNu													
	Ilongot	ilk-000	gima												qawan	
	Ilue	ilv-000	ka ubok	ékùŋ	ɔ́ɲì		tók	yí								
	Ilwana	mlk-000	mokono													
	Imbongu	imo-000			kumbe gere											
	Imbwain	paa-003	kokoge	nugumun											awuda	
	Imeddedeghan	taq-012	ǽ-fuss	t-ì-ɤmər-en	ídəm	íjəj	-əd̩d̩ɑ́s-	s-ìrəd	-t-ísu-		-ə̀z̩un-		ɑ̀-m-idi	t-ɑ-m-ə̏zzuq-q		-æ̀zzubbæ-t
	Immenas	taq-006	æ-fúss	t-ɑ̏-ɤmər-t		íjəj		s-ìrəd	-æ̀su-				i-m-ìdiw-æn	ì-jədš-ɑn		-æ̀zzubbæ-t
	Imorod	tao-001	pamamahadan													
	Impapura	qvi-000	maki	rigra muku	ñawi	patayayku	takarina	maillana	ujuna		repartina	ayllu llakta	mashi	ayllu	mana	tiyana
	Imroing	imr-000	limʼmute												kaʼrime	
	Inanwatan	szp-000	nɛre	m-ebu-to	ni rero			opo								
	Inapang	mzu-000	apara	apʊtʊβa					ɪče						ziga	
	Inga Putumayo	inj-000	maki													
	Inh	nut-001	pha.5 mɨ.2													
	Inibaloi	ibl-000	takday												qalibwa	
	Inkawasi	quf-001	maki													
	Inkawasi-Kañaris	quf-000	maki	kuki	qaqlla		willay	paqay			qaray	ayllu	amigo	ayllu	mana	tay
	Inoke-Yate	ino-000	ayana	ayanupa					kugo						haʔao	
	Interlingue	ile-000	mann	cude	disco		tracie	rinsar	tusse	domicilie	partiprender	comunité	amico	familitarye	nequant	haltar
	Inuktitut	ike-001	agak													
	Inuktitut	ikt-000	algak													
